ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
4607	hot (object, water)	Penange	nwá:gá	n w áː ɡ á
4608	hot (object, water)	Perge_Tegu	ɔ́w	ɔ́ w
4609	hot (object, water)	Sangha_So	núú	n úː
4610	hot (object, water)	Tiranige	númá	n ú m á
4611	hot (object, water)	Togo_Kan	nú:	n úː
4612	hot (object, water)	Tommo_So	númɔ́	n ú m ɔ́
4613	hot (object, water)	Tommo_So	ɔ́gú	ɔ́ ɡ ú
4614	hot (object, water)	Toro_Tegu	dɔ́	d ɔ́
4615	hot (object, water)	Yanda_Dom	ɔ̀jú	ɔ̀ dʒ ú
4616	hot (object, water)	Yorno_So	nɔ́:	n ɔ́ː
4617	hot (object, water)	Yorno_So	ɔ́gú	ɔ́ ɡ ú
4618	hot (object, water)	Tebul_Ure	ɔ́mɛ̀:	ɔ́ m ɛ̀ː
4619	hot (object, water)	Tebul_Ure	ɔ́m-gɔ̀	ɔ́ m ɡ ɔ̀
4620	hot (object, water)	Tebul_Ure	ɔ́m-bɔ̀	ɔ́ m b ɔ̀
4621	hot (object, water)	Donno_So	númɔ̀	n ú m ɔ̀
4622	house	Bangime	kóò	k ôː
4623	house	Bankan_Tey	úrò	ú r ò
4624	house	Ben_Tey	úrò	ú r ò
4625	house	Bunoge	ʔòbò	ʔ ò b ò
4626	house	Dogul_Dom	ḿbùŋ	ḿ b ù ŋ
4627	house	Gourou	úró	ú r ó
4628	house	Jamsay_Douentza	úró	ú r ó
4629	house	Jamsay_Mondoro	úró	ú r ó
4630	house	Mombo	débù	d é b ù
4631	house	Najamba	ólé	ó l é
4632	house	Najamba	óló	ó l ó
4633	house	Nanga	índô	í n d ô
4634	house	Nanga	ńdô	ń d ô
4635	house	Penange	dèm	d è m
4636	house	Perge_Tegu	íré	í r é
4637	house	Sangha_So	gìrⁿú	ɡ ì r̃ ú
4638	house	Tebul_Ure	úló	ú l ó
4639	house	Tiranige	jíwá	dʒ í w á
4640	house	Togo_Kan	gìrⁿí	ɡ ì r̃ í
4641	house	Tommo_So	gìnɛ́	ɡ ì n ɛ́
4642	house	Toro_Tegu	íló	í l ó
4643	house	Yanda_Dom	ʔə́ló	ʔ ə́ l ó
4644	house	Yorno_So	gɛ̀rⁿɛ́	ɡ ɛ̀ r̃ ɛ́
4645	house	Donno_So	gìnɛ́	ɡ ì n ɛ́
4646	how much?, how many?	Ampari	à:ŋgà	àː ŋ ɡ à
4647	how much?, how many?	Bankan_Tey	à:ŋgá	àː ŋ ɡ á
4648	how much?, how many?	Ben_Tey	à:ŋgá	àː ŋ ɡ á
4649	how much?, how many?	Bunoge	ʔáŋgáwⁿ	ʔ á ŋ ɡ á w̃
4650	how much?, how many?	Jamsay_Douentza	à:ŋá	àː ŋ á
4651	how much?, how many?	Jamsay_Mondoro	à:ŋá	àː ŋ á
4652	how much?, how many?	Mombo	á:ŋgà	áː ŋ ɡ à
4653	how much?, how many?	Najamba	àŋgɛ̂y	à ŋ ɡ ɛ̂ j
4654	how much?, how many?	Nanga	à:ŋgǎy	àː ŋ ɡ ǎ j
4655	how much?, how many?	Penange	àŋgà	à ŋ ɡ à
4656	how much?, how many?	Perge_Tegu	à:ŋgá	àː ŋ ɡ á
4657	how much?, how many?	Tebul_Ure	àŋgá	à ŋ ɡ á
4658	how much?, how many?	Tiranige	à:ŋgá	àː ŋ ɡ á
4659	how much?, how many?	Togo_Kan	à:ŋá	àː ŋ á
4660	how much?, how many?	Tommo_So	àŋgé	à ŋ ɡ é
4661	how much?, how many?	Toro_Tegu	àŋí	à ŋ í
4662	how much?, how many?	Yanda_Dom	àŋà	à ŋ à
4663	how much?, how many?	Yorno_So	àŋá	à ŋ á
4664	how much?, how many?	Dogul_Dom	à:ŋá:	àː ŋ áː
4665	how much?, how many?	Donno_So	àŋá	à ŋ á
4666	how?	Ampari	wⁿǎ:ⁿ	w̃ ã̌ː
4667	how?	Bangime	nìí	n ǐː
4668	how?	Bangime	nù mì	n ù # m ì
4669	how?	Bankan_Tey	àŋgây	à ŋ ɡ â j
4670	how?	Ben_Tey	àŋây	à ŋ â j
4671	how?	Bunoge	nánjì	n á n dʒ ì
4672	how?	Dogul_Dom	àyáŋ	à j á ŋ
4673	how?	Jamsay_Douentza	yɔ̌:jǐn	j ɔ̌ː dʒ ǐ n
4674	how?	Jamsay_Mondoro	yɔ̌:jǐn	j ɔ̌ː dʒ ǐ n
4675	how?	Mombo	mánà	m á n à
4676	how?	Najamba	ànnɛ́	à n n ɛ́
4677	how?	Najamba	àŋìnɛ́	à ŋ ì n ɛ́
4678	how?	Nanga	àmâyⁿ	à m â j̃
4679	how?	Penange	wɛ̀nɛ̀	w ɛ̀ n ɛ̀
4680	how?	Perge_Tegu	yǎwɲɛ̀:	j ǎ w ɲ ɛ̀ː
4681	how?	Tebul_Ure	áyⁿ	á j̃
4682	how?	Tiranige	árá	á r á
4683	how?	Tiranige	áráárá	á r áː r á
4684	how?	Togo_Kan	ɲâŋ	ɲ â ŋ
4685	how?	Tommo_So	yàŋgéni	j à ŋ ɡ é n i
4686	how?	Toro_Tegu	yⁿàŋêy	j̃ à ŋ ê j
4687	how?	Yanda_Dom	ànjǎ:	à n dʒ ǎː
4688	how?	Yorno_So	yàŋín	j à ŋ í n
4689	how?	Donno_So	yɔ̀gɔ́-njì:	j ɔ̀ ɡ ɔ́ n dʒ ìː
4690	hunt (verb only)	Bangime	kɛ́rɛ́ndì	k ɛ́ r ɛ́ n d ì
4691	hunt (verb only)	Bangime	sísɔ́ɣɔ̀	s í s ɔ́ ɣ ɔ̀
4692	hunt (verb only)	Bankan_Tey	òsíyé	ò s í j é
4693	hunt (verb only)	Ben_Tey	dànní	d à n n í
4694	hunt (verb only)	Gourou	dàná	d à n á
4695	hunt (verb only)	Jamsay_Douentza	dàná	d à n á
4696	hunt (verb only)	Mombo	dà:nà ǹkálúmá kání	d àː n à # ǹ k á l ú m á # k á n í
4697	hunt (verb only)	Najamba	tálɛ́	t á l ɛ́
4698	hunt (verb only)	Nanga	tá:rí	t áː r í
4699	hunt (verb only)	Sangha_So	dán dànú	d á n # d à n ú
4700	hunt (verb only)	Tebul_Ure	dàndí	d à n d í
4701	hunt (verb only)	Tiranige	tá:nó	t áː n ó
4702	hunt (verb only)	Togo_Kan	dàná	d à n á
4703	hunt (verb only)	Tommo_So	àntólú táálá	à n t ó l ú # t áː l á
4704	hunt (verb only)	Tomo_Kan_Segue	swɛ́:	s w ɛ́ː
4705	hunt (verb only)	Toro_Tegu	ósó	ó s ó
4706	hunt (verb only)	Toro_Tegu	ósú	ó s ú
4707	hunt (verb only)	Yanda_Dom	dànàlí	d à n à l í
4708	hunt (verb only)	Yanda_Dom	dànú	d à n ú
4709	hunt (verb only)	Yorno_So	dàná	d à n á
4710	hunt (verb only)	Yorno_So	dànú	d à n ú
4711	husband	Bangime	kándèè	k á n d èː
4712	husband	Bankan_Tey	ɔ̀ŋgɔ̀rɔ́	ɔ̀ ŋ ɡ ɔ̀ r ɔ́
4713	husband	Bankan_Tey	ɔ̀ŋgɔ̀rɔ̌m	ɔ̀ ŋ ɡ ɔ̀ r ɔ̌ m
4714	husband	Ben_Tey	ɔ̀ŋgɔ̀rɔ́	ɔ̀ ŋ ɡ ɔ̀ r ɔ́
4715	husband	Ben_Tey	ɔ̀ŋɔ̀rɔ́	ɔ̀ ŋ ɔ̀ r ɔ́
4716	husband	Bunoge	bàlà	b à l à
4717	husband	Dogul_Dom	ánà	á n à
4718	husband	Gourou	àɣá	à ɣ á
4719	husband	Jamsay_Douentza	àɣá	à ɣ á
4720	husband	Jamsay_Mondoro	àɣá	à ɣ á
4721	husband	Mombo	wálá	w á l á
4722	husband	Najamba	nɔ̀gɔ̀mbó	n ɔ̀ ɡ ɔ̀ m b ó
4723	husband	Najamba	nɔ̀gɔ̌:	n ɔ̀ ɡ ɔ̌ː
4724	husband	Nanga	lɔ̀gɔ̂	l ɔ̀ ɡ ɔ̂
4725	husband	Penange	wálá	w á l á
4726	husband	Perge_Tegu	ɛ̀gɛ́	ɛ̀ ɡ ɛ́
4727	husband	Sangha_So	ígɛ́	í ɡ ɛ́
4728	husband	Tebul_Ure	ɔ̀ngɔ́	ɔ̀ n ɡ ɔ́
4729	husband	Tebul_Ure	ɔ̀ngɔ́mbɔ́	ɔ̀ n ɡ ɔ́ m b ɔ́
4730	husband	Tiranige	bànà	b à n à
4731	husband	Togo_Kan	ɛ̀gɛ́	ɛ̀ ɡ ɛ́
4732	husband	Tommo_So	ígɛ́	í ɡ ɛ́
4733	husband	Toro_Tegu	ɛ̀gá	ɛ̀ ɡ á
4734	husband	Toro_Tegu	mǎ:	m ǎː
4735	husband	Yanda_Dom	mù	m ù
4736	husband	Yanda_Dom	nùŋɔ̀n	n ù ŋ ɔ̀ n
4737	husband	Yorno_So	ígɛ́	í ɡ ɛ́
4738	husband	Donno_So	ígɛ̀	í ɡ ɛ̀
4739	I am (copula, with noun)	Ampari	mí wò	m í # w ò
4740	I am (copula, with noun)	Bankan_Tey	≡mì	m ì
4741	I am (copula, with noun)	Ben_Tey	=m̀íỳ	m̀ í j̀
4742	I am (copula, with noun)	Bunoge	mì	m ì
4743	I am (copula, with noun)	Dogul_Dom	y	j
4744	I am (copula, with noun)	Jamsay_Douentza	≡ùm	ù m
4745	I am (copula, with noun)	Mombo	ḿbô:	ḿ b ôː
4746	I am (copula, with noun)	Najamba	=m̀	m̀
4747	I am (copula, with noun)	Nanga	=mí	m í
4748	I am (copula, with noun)	Penange	mí yó	m í # j ó
4749	I am (copula, with noun)	Perge_Tegu	=ùm	ù m
4750	I am (copula, with noun)	Sangha_So	múj	m ú dʒ
4751	I am (copula, with noun)	Tebul_Ure	ɲɛ́:=ḿ	ɲ ɛ́ː ḿ
4752	I am (copula, with noun)	Tiranige	mì=ẁⁿ	m ì w̃̀
4753	I am (copula, with noun)	Togo_Kan	íⁿ=y	ĩ́ j
4754	I am (copula, with noun)	Tommo_So	m	m
4755	I am (copula, with noun)	Tommo_So	ɲ	ɲ
4756	I am (copula, with noun)	Toro_Tegu	mí	m í
4757	I am (copula, with noun)	Yanda_Dom	=m̀	m̀
4758	I am (copula, with noun)	Yorno_So	mú=y	m ú j
4759	I am (copula, with noun)	Donno_So	=ŋ	ŋ
4760	if... (indicate if not clause-final)	Ampari	nêyⁿ	n ê j̃
4761	if... (indicate if not clause-final)	Bangime	sɛ́nɛ́	s ɛ́ n ɛ́
4762	if... (indicate if not clause-final)	Bankan_Tey	de	d e
4763	if... (indicate if not clause-final)	Ben_Tey	de	d e
4764	if... (indicate if not clause-final)	Bunoge	mè	m è
4765	if... (indicate if not clause-final)	Jamsay_Douentza	dey	d e j
4766	if... (indicate if not clause-final)	Jamsay_Mondoro	dey	d e j
4767	if... (indicate if not clause-final)	Mombo	gây	ɡ â j
4768	if... (indicate if not clause-final)	Najamba	mɛ́ dîn	m ɛ́ # d î n
4769	if... (indicate if not clause-final)	Nanga	nde	n d e
4770	if... (indicate if not clause-final)	Penange	bɛ́nɛ́	b ɛ́ n ɛ́
4771	if... (indicate if not clause-final)	Penange	nɛ̀	n ɛ̀
4772	if... (indicate if not clause-final)	Perge_Tegu	de	d e
4773	if... (indicate if not clause-final)	Tiranige	mɛ̀	m ɛ̀
4774	if... (indicate if not clause-final)	Togo_Kan	dè	d è
4775	if... (indicate if not clause-final)	Tommo_So	yo	j o
4776	if... (indicate if not clause-final)	Toro_Tegu	má	m á
4777	if... (indicate if not clause-final)	Yanda_Dom	dè	d è
4778	if... (indicate if not clause-final)	Yorno_So	le	l e
4779	if... (indicate if not clause-final)	Yorno_So	pù	p ù
4780	if... (indicate if not clause-final)	Donno_So	=yo	j o
4781	in front of (sth)	Ampari	gèndò gà	ɡ è n d ò # ɡ à
4782	in front of (sth)	Ampari	géndù rò	ɡ é n d ù # r ò
4783	in front of (sth)	Bankan_Tey	gírò:	ɡ í r òː
4784	in front of (sth)	Ben_Tey	jírè	dʒ í r è
4785	in front of (sth)	Bunoge	ndò	n d ò
4786	in front of (sth)	Gourou	gìrè dáɣà	ɡ ì r è # d á ɣ à
4787	in front of (sth)	Jamsay_Douentza	mà jírè	m à # dʒ í r è
4788	in front of (sth)	Jamsay_Douentza	mà jìrèdágù	m à # dʒ ì r è d á ɡ ù
4789	in front of (sth)	Mombo	tégú ńdà	t é ɡ ú # ń d à
4790	in front of (sth)	Najamba	mà	m à
4791	in front of (sth)	Nanga	gò	ɡ ò
4792	in front of (sth)	Penange	tégò wⁿ	t é ɡ ò # w̃
4793	in front of (sth)	Perge_Tegu	wà gírè	w à # ɡ í r è
4794	in front of (sth)	Tebul_Ure	nɛ̀	n ɛ̀
4795	in front of (sth)	Tiranige	ŋà	ŋ à
4796	in front of (sth)	Togo_Kan	gírè	ɡ í r è
4797	in front of (sth)	Tommo_So	gíré nɛ	ɡ í r é # n ɛ
4798	in front of (sth)	Toro_Tegu	kà	k à
4799	in front of (sth)	Yanda_Dom	bà	b à
4800	in front of (sth)	Yorno_So	gírù nɛ̀	ɡ í r ù # n ɛ̀
4801	in front of (sth)	Dogul_Dom	gìrò là:	ɡ ì r ò # l àː
4802	in front of (sth)	Donno_So	gìrù dà:	ɡ ì r ù # d àː
4803	in order to (purposive clause subordinator)	Ben_Tey	gǐn	ɡ ǐ n
4804	in order to (purposive clause subordinator)	Ben_Tey	rá:	r áː
4805	in order to (purposive clause subordinator)	Ben_Tey	rɛ́:	r ɛ́ː
4806	in order to (purposive clause subordinator)	Jamsay_Douentza	jɛ́	dʒ ɛ́
4807	in order to (purposive clause subordinator)	Jamsay_Douentza	lé	l é
4808	in order to (purposive clause subordinator)	Jamsay_Douentza	lè	l è
4809	in order to (purposive clause subordinator)	Najamba	â:	âː
4810	in order to (purposive clause subordinator)	Nanga	gó	ɡ ó
4811	in order to (purposive clause subordinator)	Nanga	m̀ dɛ̀rⁿí	m̀ # d ɛ̀ r̃ í
4812	in order to (purposive clause subordinator)	Nanga	mì	m ì
4813	in order to (purposive clause subordinator)	Penange	námm̀	n á m m̀
4814	in order to (purposive clause subordinator)	Togo_Kan	gɛ̀:	ɡ ɛ̀ː
4815	in order to (purposive clause subordinator)	Togo_Kan	lí	l í
4816	in order to (purposive clause subordinator)	Tomo_Kan_Segue	sɛ̀ⁿ mɛ̀ndó	s ɛ̃̀ # m ɛ̀ n d ó
4817	in order to (purposive clause subordinator)	Yanda_Dom	ná	n á
4818	in order to (purposive clause subordinator)	Tebul_Ure	-lé	l é
4819	in order to (purposive clause subordinator)	Donno_So	-ni	n i
4820	in order to (purposive clause subordinator)	Donno_So	jǎ:	dʒ ǎː
4821	inselberg, rocky mountain with cliffsides	Bangime	símèè	s í m èː
4822	inselberg, rocky mountain with cliffsides	Bankan_Tey	tɔ́rɔ̀	t ɔ́ r ɔ̀
4823	inselberg, rocky mountain with cliffsides	Ben_Tey	kùrⁿùtɔ́rɔ̀	k ù r̃ ù t ɔ́ r ɔ̀
4824	inselberg, rocky mountain with cliffsides	Ben_Tey	tɔ́rɔ̀	t ɔ́ r ɔ̀
4825	inselberg, rocky mountain with cliffsides	Dogul_Dom	pɛ̀gɔ́ɔ̀	p ɛ̀ ɡ ɔ̂ː
4826	inselberg, rocky mountain with cliffsides	Gourou	tɔ̀rɔ̀tùmó	t ɔ̀ r ɔ̀ t ù m ó
4827	inselberg, rocky mountain with cliffsides	Jamsay_Douentza	tɔ́rɔ́	t ɔ́ r ɔ́
4828	inselberg, rocky mountain with cliffsides	Jamsay_Douentza	tùmó	t ù m ó
4829	inselberg, rocky mountain with cliffsides	Mombo	pɛ́gɔ̀	p ɛ́ ɡ ɔ̀
4830	inselberg, rocky mountain with cliffsides	Nanga	tɔ́rɔ̂	t ɔ́ r ɔ̂
4831	inselberg, rocky mountain with cliffsides	Perge_Tegu	tùwòjǎw	t ù w ò dʒ ǎ w
4832	inselberg, rocky mountain with cliffsides	Toro_Tegu	tɔ́rɔ́	t ɔ́ r ɔ́
4833	inselberg, rocky mountain with cliffsides	Yanda_Dom	kɔ́ŋɔ́	k ɔ́ ŋ ɔ́
4834	inselberg, rocky mountain with cliffsides	Donno_So	pɛ̀gɛ̀lɛ̌ŋ	p ɛ̀ ɡ ɛ̀ l ɛ̌ ŋ
4835	inside ...	Ampari	kwé	k w é
4836	inside ...	Bangime	ŋ kóò	ŋ # k ôː
4837	inside ...	Bankan_Tey	pírè	p í r è
4838	inside ...	Ben_Tey	pírè	p í r è
4839	inside ...	Bunoge	ndò	n d ò
4840	inside ...	Jamsay_Douentza	bɛ́rɛ̀	b ɛ́ r ɛ̀
4841	inside ...	Jamsay_Douentza	mà bɛ̀rɛ̂:	m à # b ɛ̀ r ɛ̂ː
4842	inside ...	Mombo	píjíwⁿ	p í dʒ í w̃
4843	inside ...	Najamba	mà	m à
4844	inside ...	Nanga	gó	ɡ ó
4845	inside ...	Penange	jáŋgà ŋ̀	dʒ á ŋ ɡ à # ŋ̀
4846	inside ...	Perge_Tegu	wà bɛ̀rɛ̂:	w à # b ɛ̀ r ɛ̂ː
4847	inside ...	Sangha_So	kɔ́lɔ́ nɛ̀	k ɔ́ l ɔ́ # n ɛ̀
4848	inside ...	Tiranige	ŋà	ŋ à
4849	inside ...	Tommo_So	kɔ́lɔ́ nɛ	k ɔ́ l ɔ́ # n ɛ
4850	inside ...	Toro_Tegu	kù	k ù
4851	inside ...	Yanda_Dom	gà	ɡ à
4852	inside ...	Yanda_Dom	nà	n à
4853	inside ...	Yorno_So	nɛ̀	n ɛ̀
4854	inside ...	Tebul_Ure	-bèrⁿǎ: 	b è r̃ ǎː # �
4855	inside ...	Tebul_Ure	 -bènǎ:	� # b è n ǎː
4856	inside ...	Tebul_Ure	bènà: ǹ nè	b è n àː # ǹ # n è
4857	inside ...	Dogul_Dom	kùlù-ŋ dà:	k ù l ù ŋ # d àː
4858	inside ...	Togo_Kan	bîn	b î n
4859	inside ...	Donno_So	kɔ̀lɔ̀ rà:	k ɔ̀ l ɔ̀ # r àː
4860	intestines (big and small)	Bangime	ŋɔ̀ kúrúʋɛ̀	ŋ ɔ̀ # k ú r ú ʋ ɛ̀
4861	intestines (big and small)	Bankan_Tey	pìrèkɔ́rɔ̀	p ì r è k ɔ́ r ɔ̀
4862	intestines (big and small)	Ben_Tey	pìrèkɔ́rɔ̀	p ì r è k ɔ́ r ɔ̀
4863	intestines (big and small)	Bunoge	dòléŋkòndè	d ò l é ŋ k ò n d è
4864	intestines (big and small)	Dogul_Dom	bìndú	b ì n d ú
4865	intestines (big and small)	Gourou	kɔ̀rⁿî:	k ɔ̀ r̃ îː
4866	intestines (big and small)	Jamsay_Douentza	kɔ̀rⁿî:ⁿ	k ɔ̀ r̃ ĩ̂ː
4867	intestines (big and small)	Mombo	nòlè ɲóŋgò	n ò l è # ɲ ó ŋ ɡ ò
4868	intestines (big and small)	Najamba	bìndé	b ì n d é
4869	intestines (big and small)	Najamba	bìndú	b ì n d ú
4870	intestines (big and small)	Nanga	bìndî	b ì n d î
4871	intestines (big and small)	Nanga	pìrèkɔ́rɔ̂	p ì r è k ɔ́ r ɔ̂
4872	intestines (big and small)	Penange	nòlè	n ò l è
4873	intestines (big and small)	Sangha_So	kɔ̀rdʒá	k ɔ̀ r d ʒ á
4874	intestines (big and small)	Tebul_Ure	bɛ̀ndǎ:	b ɛ̀ n d ǎː
4875	intestines (big and small)	Tiranige	kólóndó	k ó l ó n d ó
4876	intestines (big and small)	Togo_Kan	kɔ̀rⁿí:	k ɔ̀ r̃ íː
4877	intestines (big and small)	Tommo_So	bìndú	b ì n d ú
4878	intestines (big and small)	Tomo_Kan_Diangassagou	kwɛ̀lɛ̀yⁿ	k w ɛ̀ l ɛ̀ j̃
4879	intestines (big and small)	Tomo_Kan_Segue	kwɛ̀lɛ̀ⁿ	k w ɛ̀ l ɛ̃̀
4880	intestines (big and small)	Toro_Tegu	pùŋgúrɔ̀	p ù ŋ ɡ ú r ɔ̀
4881	intestines (big and small)	Toro_Tegu	pùŋúrɔ̀	p ù ŋ ú r ɔ̀
4882	intestines (big and small)	Yanda_Dom	pídím	p í d í m
4883	intestines (big and small)	Yorno_So	kɔ̀ljâ:	k ɔ̀ l dʒ âː
4884	intestines (big and small)	Donno_So	bìndú	b ì n d ú
4885	is it the case that ...? (yes/no interrogative)	Bankan_Tey	ma	m a
4886	is it the case that ...? (yes/no interrogative)	Ben_Tey	ma	m a
4887	is it the case that ...? (yes/no interrogative)	Bunoge	yà	j à
4888	is it the case that ...? (yes/no interrogative)	Jamsay_Douentza	ma	m a
4889	is it the case that ...? (yes/no interrogative)	Mombo	gà	ɡ à
4890	is it the case that ...? (yes/no interrogative)	Najamba	lò	l ò
4891	is it the case that ...? (yes/no interrogative)	Nanga	ma	m a
4892	is it the case that ...? (yes/no interrogative)	Perge_Tegu	ma	m a
4893	is it the case that ...? (yes/no interrogative)	Tiranige	lè	l è
4894	is it the case that ...? (yes/no interrogative)	Tiranige	nì	n ì
4895	is it the case that ...? (yes/no interrogative)	Togo_Kan	mà	m à
4896	is it the case that ...? (yes/no interrogative)	Tommo_So	ma	m a
4897	is it the case that ...? (yes/no interrogative)	Toro_Tegu	ma	m a
4898	is it the case that ...? (yes/no interrogative)	Yanda_Dom	mà	m à
4899	is it the case that ...? (yes/no interrogative)	Yorno_So	mǎ	m ǎ
4900	it is __ (with expressive adverbial)	Ampari	bó	b ó
4901	it is __ (with expressive adverbial)	Ben_Tey	bù	b ù
4902	it is __ (with expressive adverbial)	Bunoge	bò	b ò
4903	it is __ (with expressive adverbial)	Jamsay_Douentza	kɔ̀	k ɔ̀
4904	it is __ (with expressive adverbial)	Najamba	bò	b ò
4905	it is __ (with expressive adverbial)	Nanga	bù	b ù
4906	it is __ (with expressive adverbial)	Penange	bò	b ò
4907	it is __ (with expressive adverbial)	Perge_Tegu	kɔ̀	k ɔ̀
4908	it is __ (with expressive adverbial)	Tebul_Ure	bù	b ù
4909	it is __ (with expressive adverbial)	Tiranige	bǒ:	b ǒː
4910	it is __ (with expressive adverbial)	Togo_Kan	kɔ̀	k ɔ̀
4911	it is __ (with expressive adverbial)	Tomo_Kan_Segue	kɔ́	k ɔ́
4912	it is __ (with expressive adverbial)	Yanda_Dom	bò	b ò
4913	it is __ (with expressive adverbial)	Yorno_So	kɔ̀	k ɔ̀
4914	it is __ (with expressive adverbial)	Donno_So	wɔ̀	w ɔ̀
4915	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Ampari	órù	ó r ù
4916	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Ben_Tey	ŋ̀gó	ŋ̀ ɡ ó
4917	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Bunoge	ʔórì	ʔ ó r ì
4918	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Jamsay_Douentza	kɔ̀:rɔ́	k ɔ̀ː r ɔ́
4919	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Najamba	òndí	ò n d í
4920	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Najamba	òndú	ò n d ú
4921	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Nanga	ŋ̀gó	ŋ̀ ɡ ó
4922	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Penange	wǒl	w ǒ l
4923	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Perge_Tegu	ŋ̀gó	ŋ̀ ɡ ó
4924	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Tebul_Ure	ŋ̀gó	ŋ̀ ɡ ó
4925	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Tiranige	órâ	ó r â
4926	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Togo_Kan	kɔ̀:rɔ́	k ɔ̀ː r ɔ́
4927	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Tomo_Kan_Segue	kɔ̀lɔ̀	k ɔ̀ l ɔ̀
4928	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Yanda_Dom	ònú	ò n ú
4929	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Yorno_So	kɔ̀lɔ́	k ɔ̀ l ɔ́
4930	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	Donno_So	wɔ̀-lɔ́	w ɔ̀ l ɔ́
4931	it is straight	Ampari	tégétégé bó	t é ɡ é t é ɡ é # b ó
4932	it is straight	Bankan_Tey	démŋ̀gá nì bù	d é m ŋ̀ ɡ á # n ì # b ù
4933	it is straight	Ben_Tey	démbù	d é m b ù
4934	it is straight	Bunoge	téyⁿtéyⁿ bò	t é j̃ t é j̃ # b ò
4935	it is straight	Jamsay_Douentza	démkɔ̀	d é m k ɔ̀
4936	it is straight	Mombo	díwⁿbó:	d í w̃ b óː
4937	it is straight	Najamba	bò	b ò
4938	it is straight	Nanga	démbù	d é m b ù
4939	it is straight	Penange	bɔ̀jɛ́bò	b ɔ̀ dʒ ɛ́ b ò
4940	it is straight	Perge_Tegu	démkɔ̀	d é m k ɔ̀
4941	it is straight	Tiranige	tɛ́ⁿtɛ́wⁿ bò	t ɛ̃́ t ɛ́ w̃ # b ò
4942	it is straight	Togo_Kan	dɛ́wⁿ kɔ̀	d ɛ́ w̃ # k ɔ̀
4943	it is straight	Tommo_So	démní wɔ̀	d é m n í # w ɔ̀
4944	it is straight	Toro_Tegu	ígú dà	í ɡ ú # d à
4945	it is straight	Yanda_Dom	démdém bò	d é m d é m # b ò
4946	it is straight	Yorno_So	démkɔ̀	d é m k ɔ̀
4947	it is straight	Donno_So	těŋ→ wɔ̀	t ě ŋ # w ɔ̀
4948	it isn't straight	Ampari	tégétégé órù	t é ɡ é t é ɡ é # ó r ù
4949	it isn't straight	Bankan_Tey	démŋ̀gá ŋ̀gó	d é m ŋ̀ ɡ á # ŋ̀ ɡ ó
4950	it isn't straight	Ben_Tey	démŋ̀gó	d é m ŋ̀ ɡ ó
4951	it isn't straight	Bunoge	téyⁿtéyⁿ ʔórì	t é j̃ t é j̃ # ʔ ó r ì
4952	it isn't straight	Jamsay_Douentza	démkɔ̀:rɔ́	d é m k ɔ̀ː r ɔ́
4953	it isn't straight	Mombo	díwⁿólì	d í w̃ ó l ì
4954	it isn't straight	Najamba	òndí	ò n d í
4955	it isn't straight	Nanga	dém ŋ̀gó	d é m # ŋ̀ ɡ ó
4956	it isn't straight	Penange	bɔ̀jɛ́wǒl	b ɔ̀ dʒ ɛ́ w ǒ l
4957	it isn't straight	Perge_Tegu	démŋ̀gó	d é m ŋ̀ ɡ ó
4958	it isn't straight	Tiranige	tɛ́ⁿtɛ́wⁿ órà	t ɛ̃́ t ɛ́ w̃ # ó r à
4959	it isn't straight	Togo_Kan	dɛ́wⁿ kɔ̀:rɔ́	d ɛ́ w̃ # k ɔ̀ː r ɔ́
4960	it isn't straight	Tommo_So	démní òndú	d é m n í # ò n d ú
4961	it isn't straight	Toro_Tegu	ígúŋ̀gó	í ɡ ú ŋ̀ ɡ ó
4962	it isn't straight	Yanda_Dom	démdém ònú	d é m d é m # ò n ú
4963	it isn't straight	Yorno_So	démkɔ̀lɔ́	d é m k ɔ̀ l ɔ́
